iter	target	build_tests	passes	totalTurns	decision
0	(baseline)	ok	10	52	baseline
1	src/loop.ts	ok	8	53	revert
2	src/tools.ts	ok	10	51	accept
3	src/context.ts	fail	10	51	revert_build
4	src/provider.ts	fail	10	51	revert_build
